year,month,day,week,mean_temperature,max_temperature,max_temperature_time,min_temperature,min_temperature_time,sum_rainfall,mean_cloudage,mean_wind_speed,mean_humidity
2016,1,1,金,7.1,12.5,13:42,3.3,07:42,0,1.0,2.2,63
2016,1,2,土,9.5,15.1,14:51,2.9,01:34,0.0,8.5,2.1,64
2016,1,3,日,10.4,14.9,12:01,6.8,06:44,0.0,4.8,1.1,78
2016,1,4,月,11.7,16.8,12:44,6.0,02:01,0,8.0,2.8,69
2016,1,5,火,9.4,12.9,11:42,6.9,06:13,0.0,8.5,1.9,69
2016,1,6,水,9.4,11.9,13:06,6.1,07:23,0,10.0,2.1,66
2016,1,7,木,9.2,12.6,13:26,6.7,23:52,0,6.5,3.3,54
2016,1,8,金,7.3,10.2,13:42,5.7,05:27,0.5,10.0,3.0,64
2016,1,9,土,7.4,10.6,12:27,3.6,07:37,0.0,5.5,3.0,49
2016,1,10,日,7.7,12.6,12:45,3.5,07:03,0,5.0,3.0,54
2016,1,11,月,8.1,11.8,13:53,4.4,05:11,0,8.8,2.5,56
2016,1,12,火,7.6,9.9,14:22,5.3,0:00,0.0,9.8,2.0,59
2016,1,13,水,5.9,8.8,11:49,3.9,07:49,0.5,8.8,3.0,71
2016,1,14,木,5.4,10.0,12:13,1.6,06:17,0.0,6.3,3.1,62
2016,1,15,金,4.6,9.3,13:06,1.2,04:57,0,4.8,2.5,65
2016,1,16,土,4.7,10.2,13:55,0.0,07:15,0,0.0,1.8,59
2016,1,17,日,5.9,9.3,11:42,0.8,07:08,0.5,9.3,2.4,68
2016,1,18,月,7.9,12.3,13:59,4.1,0:00,2.0,10.0,6.5,70
2016,1,19,火,2.9,5.2,13:58,0.2,22:11,0.0,8.8,7.4,48
2016,1,20,水,4.5,8.8,14:59,0.9,02:17,0.0,4.5,5.9,54
2016,1,21,木,4.8,8.1,12:22,1.2,07:54,0.0,8.0,1.6,71
2016,1,22,金,5.9,9.7,13:29,4.3,03:32,0.0,10.0,2.5,66
2016,1,23,土,4.0,9.7,12:18,1.2,07:20,0.0,10.0,2.8,66
2016,1,24,日,-1.2,1.9,00:11,-2.5,22:42,0.0,8.3,4.8,47
2016,1,25,月,2.1,6.4,13:57,-1.6,00:45,0.0,7.8,4.7,60
2016,1,26,火,4.1,6.7,12:13,1.4,03:17,1.0,10.0,2.5,79
2016,1,27,水,7.8,10.6,15:47,4.0,23:54,0.0,7.3,3.6,54
2016,1,28,木,6.5,10.5,12:15,1.2,05:11,2.0,6.3,1.2,81
2016,1,29,金,8.5,9.8,13:27,7.9,05:04,31.0,10.0,1.7,93
2016,1,30,土,8.1,10.1,13:21,4.9,0:00,9.5,9.3,1.6,80
2016,1,31,日,7.1,12.1,15:21,2.3,07:08,0.0,5.5,1.9,75
2016,2,1,月,7.6,10.5,14:09,5.7,07:49,0.0,9.8,3.2,67
2016,2,2,火,6.6,9.6,13:24,4.5,07:31,0.0,9.0,2.6,61
2016,2,3,水,5.3,9.4,15:25,2.3,23:39,0.0,5.3,1.3,66
2016,2,4,木,6.8,10.8,15:10,2.3,00:51,0,7.8,2.8,61
2016,2,5,金,6.8,11.1,12:14,2.6,06:41,0,7.0,2.2,61
2016,2,6,土,6.0,9.2,14:16,3.6,23:57,0,5.3,3.5,55
2016,2,7,日,4.2,8.0,14:55,0.6,23:54,0.0,5.0,2.2,61
2016,2,8,月,4.7,10.3,14:48,-1.8,06:39,0.0,1.0,2.3,61
2016,2,9,火,8.0,11.9,10:58,4.6,23:56,0.0,6.0,5.0,45
2016,2,10,水,5.8,11.1,15:04,1.5,06:49,0,0.8,2.2,52
2016,2,11,木,5.8,11.3,13:32,0.2,06:35,0,5.0,1.5,59
2016,2,12,金,8.4,13.5,13:27,1.4,07:00,0.0,8.8,1.3,74
2016,2,13,土,12.7,16.1,11:08,8.9,06:52,17.5,10.0,1.1,91
2016,2,14,日,13.5,17.6,12:00,9.3,0:00,8.5,9.3,4.8,74
2016,2,15,月,5.7,9.3,00:12,2.5,23:52,0.5,8.5,5.8,55
2016,2,16,火,4.4,8.4,13:16,1.0,07:16,0.0,5.8,4.5,55
2016,2,17,水,6.4,9.8,15:06,2.1,23:58,0.0,7.0,4.3,53
2016,2,18,木,4.5,9.5,16:07,-1.0,06:34,0,3.0,1.7,65
2016,2,19,金,8.6,15.5,13:02,1.1,04:57,0,5.3,1.9,62
2016,2,20,土,8.6,9.5,04:35,7.7,14:06,15.5,10.0,2.9,85
2016,2,21,日,7.6,10.8,14:25,4.6,23:46,0.0,6.8,4.2,50
2016,2,22,月,5.5,9.0,12:33,0.9,04:57,0,9.5,1.8,51
2016,2,23,火,7.7,10.3,13:12,5.7,07:19,0.0,8.0,2.7,68
2016,2,24,水,5.8,8.5,13:07,3.8,23:58,0.0,10.0,2.6,61
2016,2,25,木,5.0,9.4,14:13,1.8,07:11,0.0,5.0,3.0,51
2016,2,26,金,5.2,10.4,14:20,-0.2,05:23,0,5.0,3.1,51
2016,2,27,土,7.0,12.3,13:25,1.3,06:49,0.0,7.5,1.7,64
2016,2,28,日,8.8,15.3,14:36,3.1,06:12,0,1.3,1.5,79
2016,2,29,月,6.3,10.4,06:43,1.9,0:00,3.0,8.0,4.3,66
2016,3,1,火,3.5,7.6,15:33,-0.7,06:16,0,4.5,3.3,54
2016,3,2,水,7.0,12.3,15:35,1.5,06:43,0,4.0,3.2,52
2016,3,3,木,9.7,17.0,15:55,2.5,06:52,0,0.0,2.0,53
2016,3,4,金,9.4,13.5,15:29,4.5,03:06,0,8.0,1.2,68
