,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,data,Family
0,1,0.0,3,1,22.0,1,0,7.25,8,2,train,1
1,2,1.0,1,0,38.0,1,0,71.2833,2,0,train,1
2,3,1.0,3,0,26.0,0,0,7.925,8,2,train,0
3,4,1.0,1,0,35.0,1,0,53.1,2,2,train,1
4,5,0.0,3,1,35.0,0,0,8.05,8,2,train,0
5,6,0.0,3,1,29.881137667304014,0,0,8.4583,8,1,train,0
6,7,0.0,1,1,54.0,0,0,51.8625,4,2,train,0
7,8,0.0,3,1,2.0,3,1,21.075,8,2,train,4
8,9,1.0,3,0,27.0,0,2,11.1333,8,2,train,2
9,10,1.0,2,0,14.0,1,0,30.0708,8,0,train,1
10,11,1.0,3,0,4.0,1,1,16.7,6,2,train,2
11,12,1.0,1,0,58.0,0,0,26.55,2,2,train,0
12,13,0.0,3,1,20.0,0,0,8.05,8,2,train,0
13,14,0.0,3,1,39.0,1,5,31.275,8,2,train,6
14,15,0.0,3,0,14.0,0,0,7.8542,8,2,train,0
15,16,1.0,2,0,55.0,0,0,16.0,8,2,train,0
16,17,0.0,3,1,2.0,4,1,29.125,8,1,train,5
17,18,1.0,2,1,29.881137667304014,0,0,13.0,8,2,train,0
18,19,0.0,3,0,31.0,1,0,18.0,8,2,train,1
19,20,1.0,3,0,29.881137667304014,0,0,7.225,8,0,train,0
20,21,0.0,2,1,35.0,0,0,26.0,8,2,train,0
21,22,1.0,2,1,34.0,0,0,13.0,3,2,train,0
22,23,1.0,3,0,15.0,0,0,8.0292,8,1,train,0
23,24,1.0,1,1,28.0,0,0,35.5,0,2,train,0
24,25,0.0,3,0,8.0,3,1,21.075,8,2,train,4
25,26,1.0,3,0,38.0,1,5,31.3875,8,2,train,6
26,27,0.0,3,1,29.881137667304014,0,0,7.225,8,0,train,0
27,28,0.0,1,1,19.0,3,2,263.0,2,2,train,5
28,29,1.0,3,0,29.881137667304014,0,0,7.8792,8,1,train,0
29,30,0.0,3,1,29.881137667304014,0,0,7.8958,8,2,train,0
30,31,0.0,1,1,40.0,0,0,27.7208,8,0,train,0
31,32,1.0,1,0,29.881137667304014,1,0,146.5208,1,0,train,1
32,33,1.0,3,0,29.881137667304014,0,0,7.75,8,1,train,0
33,34,0.0,2,1,66.0,0,0,10.5,8,2,train,0
34,35,0.0,1,1,28.0,1,0,82.1708,8,0,train,1
35,36,0.0,1,1,42.0,1,0,52.0,8,2,train,1
36,37,1.0,3,1,29.881137667304014,0,0,7.2292,8,0,train,0
37,38,0.0,3,1,21.0,0,0,8.05,8,2,train,0
38,39,0.0,3,0,18.0,2,0,18.0,8,2,train,2
39,40,1.0,3,0,14.0,1,0,11.2417,8,0,train,1
40,41,0.0,3,0,40.0,1,0,9.475,8,2,train,1
41,42,0.0,2,0,27.0,1,0,21.0,8,2,train,1
42,43,0.0,3,1,29.881137667304014,0,0,7.8958,8,0,train,0
43,44,1.0,2,0,3.0,1,2,41.5792,8,0,train,3
44,45,1.0,3,0,19.0,0,0,7.8792,8,1,train,0
45,46,0.0,3,1,29.881137667304014,0,0,8.05,8,2,train,0
46,47,0.0,3,1,29.881137667304014,1,0,15.5,8,1,train,1
47,48,1.0,3,0,29.881137667304014,0,0,7.75,8,1,train,0
48,49,0.0,3,1,29.881137667304014,2,0,21.6792,8,0,train,2
49,50,0.0,3,0,18.0,1,0,17.8,8,2,train,1
50,51,0.0,3,1,7.0,4,1,39.6875,8,2,train,5
51,52,0.0,3,1,21.0,0,0,7.8,8,2,train,0
52,53,1.0,1,0,49.0,1,0,76.7292,3,0,train,1
53,54,1.0,2,0,29.0,1,0,26.0,8,2,train,1
54,55,0.0,1,1,65.0,0,1,61.9792,1,0,train,1
55,56,1.0,1,1,29.881137667304014,0,0,35.5,2,2,train,0
56,57,1.0,2,0,21.0,0,0,10.5,8,2,train,0
57,58,0.0,3,1,28.5,0,0,7.2292,8,0,train,0
58,59,1.0,2,0,5.0,1,2,27.75,8,2,train,3
59,60,0.0,3,1,11.0,5,2,46.9,8,2,train,7
60,61,0.0,3,1,22.0,0,0,7.2292,8,0,train,0
61,62,1.0,1,0,38.0,0,0,80.0,1,2,train,0
62,63,0.0,1,1,45.0,1,0,83.475,2,2,train,1
63,64,0.0,3,1,4.0,3,2,27.9,8,2,train,5
64,65,0.0,1,1,29.881137667304014,0,0,27.7208,8,0,train,0
65,66,1.0,3,1,29.881137667304014,1,1,15.2458,8,0,train,2
66,67,1.0,2,0,29.0,0,0,10.5,5,2,train,0
67,68,0.0,3,1,19.0,0,0,8.1583,8,2,train,0
68,69,1.0,3,0,17.0,4,2,7.925,8,2,train,6
69,70,0.0,3,1,26.0,2,0,8.6625,8,2,train,2
70,71,0.0,2,1,32.0,0,0,10.5,8,2,train,0
71,72,0.0,3,0,16.0,5,2,46.9,8,2,train,7
72,73,0.0,2,1,21.0,0,0,73.5,8,2,train,0
73,74,0.0,3,1,26.0,1,0,14.4542,8,0,train,1
74,75,1.0,3,1,32.0,0,0,56.4958,8,2,train,0
75,76,0.0,3,1,25.0,0,0,7.65,5,2,train,0
76,77,0.0,3,1,29.881137667304014,0,0,7.8958,8,2,train,0
77,78,0.0,3,1,29.881137667304014,0,0,8.05,8,2,train,0
78,79,1.0,2,1,0.83,0,2,29.0,8,2,train,2
79,80,1.0,3,0,30.0,0,0,12.475,8,2,train,0
80,81,0.0,3,1,22.0,0,0,9.0,8,2,train,0
81,82,1.0,3,1,29.0,0,0,9.5,8,2,train,0
82,83,1.0,3,0,29.881137667304014,0,0,7.7875,8,1,train,0
83,84,0.0,1,1,28.0,0,0,47.1,8,2,train,0
84,85,1.0,2,0,17.0,0,0,10.5,8,2,train,0
85,86,1.0,3,0,33.0,3,0,15.85,8,2,train,3
86,87,0.0,3,1,16.0,1,3,34.375,8,2,train,4
87,88,0.0,3,1,29.881137667304014,0,0,8.05,8,2,train,0
88,89,1.0,1,0,23.0,3,2,263.0,2,2,train,5
89,90,0.0,3,1,24.0,0,0,8.05,8,2,train,0
90,91,0.0,3,1,29.0,0,0,8.05,8,2,train,0
91,92,0.0,3,1,20.0,0,0,7.8542,8,2,train,0
92,93,0.0,1,1,46.0,1,0,61.175,4,2,train,1
93,94,0.0,3,1,26.0,1,2,20.575,8,2,train,3
94,95,0.0,3,1,59.0,0,0,7.25,8,2,train,0
95,96,0.0,3,1,29.881137667304014,0,0,8.05,8,2,train,0
96,97,0.0,1,1,71.0,0,0,34.6542,0,0,train,0
97,98,1.0,1,1,23.0,0,1,63.3583,3,0,train,1
98,99,1.0,2,0,34.0,0,1,23.0,8,2,train,1
99,100,0.0,2,1,34.0,1,0,26.0,8,2,train,1
100,101,0.0,3,0,28.0,0,0,7.8958,8,2,train,0
101,102,0.0,3,1,29.881137667304014,0,0,7.8958,8,2,train,0
102,103,0.0,1,1,21.0,0,1,77.2875,3,2,train,1
103,104,0.0,3,1,33.0,0,0,8.6542,8,2,train,0
104,105,0.0,3,1,37.0,2,0,7.925,8,2,train,2
105,106,0.0,3,1,28.0,0,0,7.8958,8,2,train,0
106,107,1.0,3,0,21.0,0,0,7.65,8,2,train,0
107,108,1.0,3,1,29.881137667304014,0,0,7.775,8,2,train,0
108,109,0.0,3,1,38.0,0,0,7.8958,8,2,train,0
109,110,1.0,3,0,29.881137667304014,1,0,24.15,8,1,train,1
110,111,0.0,1,1,47.0,0,0,52.0,2,2,train,0
111,112,0.0,3,0,14.5,1,0,14.4542,8,0,train,1
112,113,0.0,3,1,22.0,0,0,8.05,8,2,train,0
113,114,0.0,3,0,20.0,1,0,9.825,8,2,train,1
114,115,0.0,3,0,17.0,0,0,14.4583,8,0,train,0
115,116,0.0,3,1,21.0,0,0,7.925,8,2,train,0
116,117,0.0,3,1,70.5,0,0,7.75,8,1,train,0
117,118,0.0,2,1,29.0,1,0,21.0,8,2,train,1
118,119,0.0,1,1,24.0,0,1,247.5208,1,0,train,1
119,120,0.0,3,0,2.0,4,2,31.275,8,2,train,6
120,121,0.0,2,1,21.0,2,0,73.5,8,2,train,2
121,122,0.0,3,1,29.881137667304014,0,0,8.05,8,2,train,0
122,123,0.0,2,1,32.5,1,0,30.0708,8,0,train,1
123,124,1.0,2,0,32.5,0,0,13.0,4,2,train,0
124,125,0.0,1,1,54.0,0,1,77.2875,3,2,train,1
125,126,1.0,3,1,12.0,1,0,11.2417,8,0,train,1
126,127,0.0,3,1,29.881137667304014,0,0,7.75,8,1,train,0
127,128,1.0,3,1,24.0,0,0,7.1417,8,2,train,0
128,129,1.0,3,0,29.881137667304014,1,1,22.3583,5,0,train,2
129,130,0.0,3,1,45.0,0,0,6.975,8,2,train,0
130,131,0.0,3,1,33.0,0,0,7.8958,8,0,train,0
131,132,0.0,3,1,20.0,0,0,7.05,8,2,train,0
132,133,0.0,3,0,47.0,1,0,14.5,8,2,train,1
133,134,1.0,2,0,29.0,1,0,26.0,8,2,train,1
134,135,0.0,2,1,25.0,0,0,13.0,8,2,train,0
135,136,0.0,2,1,23.0,0,0,15.0458,8,0,train,0
136,137,1.0,1,0,19.0,0,2,26.2833,3,2,train,2
137,138,0.0,1,1,37.0,1,0,53.1,2,2,train,1
138,139,0.0,3,1,16.0,0,0,9.2167,8,2,train,0
139,140,0.0,1,1,24.0,0,0,79.2,1,0,train,0
140,141,0.0,3,0,29.881137667304014,0,2,15.2458,8,0,train,2
141,142,1.0,3,0,22.0,0,0,7.75,8,2,train,0
142,143,1.0,3,0,24.0,1,0,15.85,8,2,train,1
143,144,0.0,3,1,19.0,0,0,6.75,8,1,train,0
144,145,0.0,2,1,18.0,0,0,11.5,8,2,train,0
145,146,0.0,2,1,19.0,1,1,36.75,8,2,train,2
146,147,1.0,3,1,27.0,0,0,7.7958,8,2,train,0
147,148,0.0,3,0,9.0,2,2,34.375,8,2,train,4
148,149,0.0,2,1,36.5,0,2,26.0,5,2,train,2
149,150,0.0,2,1,42.0,0,0,13.0,8,2,train,0
150,151,0.0,2,1,51.0,0,0,12.525,8,2,train,0
151,152,1.0,1,0,22.0,1,0,66.6,2,2,train,1
152,153,0.0,3,1,55.5,0,0,8.05,8,2,train,0
153,154,0.0,3,1,40.5,0,2,14.5,8,2,train,2
154,155,0.0,3,1,29.881137667304014,0,0,7.3125,8,2,train,0
155,156,0.0,1,1,51.0,0,1,61.3792,8,0,train,1
